Model,Accuracy,F1
Random Forest,0.888,0.8868870898333245
MLP v2,0.8762666666666666,0.8753718344401851
KAN,0.8818666666666667,0.8816740477398497
Soft Ensemble,0.8882666666666666,0.8878293026991881
Meta Ensemble,0.9144,0.9140651472914425
